despesa,tipo
Edeka,Supermercado
Metro,Fixo
Edeka,Supermercado
MacDonalds,Comida
Edeka,Supermercado
KFC,Almoço
Saque,Saques
KFC,Comida
DM,Supermercado
Edeka,Supermercado
Edeka,Supermercado
Comida,Comida
Teste,Consumo
Pacote Itau,Fixo
Starbucks,Comida
Comida Aeroporto,Comida
On the rock,Comida
Condominio,Fixo
Vivo,Fixo
Café da Manhã,Comida
Vodafone,Fixo
Comida 1,Comida
Comida 2,Comida
Comida 3,Comida
Localiza 02/10,Final de Semana
Ifood,Comida
Amazon,Nerdisse
Steam,Nerdisse
Uber,Carro
Uber,Carro
Disney+,Nerdisse
Netflix,Nerdisse
saque,Saques
Edeka,Supermercado
Edeka,Almoço
Edeka,Almoço
Metro,Fixo
Imposto do Selo,Fixo
Cartao,Fixo
Edeka,Supermercado
We Wash,Consumo
KFC,Almoço
body and soul,Fixo
Thaifoods,Comida
Landbae,Comida
lieferando,Comida
lieferando,Comida
Eletropaulo,Fixo
Apple tv,Nerdisse
IOF,Fixo
Edeka 1,Supermercado
Edeka 2,Supermercado
Edeka 3,Supermercado
Condominio,Fixo
Solange,Consumo
Pacote Itau,Fixo
KFC 1,Comida
KFC 2,Comida
Almoco,Almoço
Almoco 1,Almoço
Almoco 2,Almoço
Cafe da Manha,Comida
Saque,Saques
Almoço,Almoço
KFC,Comida
Vivo,Fixo
Almoço,Almoço
KFC,Comida
Almoco,Almoço
Localiza,Final de Semana
Dead Space,Nerdisse
Anuidade,Fixo
Amazon Prime,Nerdisse
Disney+,Nerdisse
Netflix,Nerdisse
Metro,Fixo
Edeka,Supermercado
Almoco,Almoço
Edeka,Supermercado
Amazon,Nerdisse
academia,Fixo
we wash,Fixo
Almoco,Almoço
Apple Plus,Nerdisse
IOF,Fixo
Edeka,Supermercado
Saque,Saques
KFC,Almoço
KFC,Almoço
KFC 2,Almoço
Saturn,Nerdisse
We Wash,Consumo
Eletropaulo,Consumo
Pacote Itau,Fixo
Spotify,Nerdisse
Anuidade,Fixo
Amazon,Nerdisse
Saque,Saques
Edeka,Supermercado
Saque,Saques
Almoço,Almoço
Taxa transferencia,Fixo
Desodorante,Supermercado
Celular,Fixo
Edeka,Supermercado
Metro,Fixo
Almoço,Almoço
KFC,Almoço
Almoço 1,Almoço
Edeka 1,Supermercado
Edeka,Supermercado
Almoço,Almoço
Saque,Saques
Almoço,Almoço
Almoço 1,Almoço
Pacote Itau,Fixo
Condominio,Fixo
Localiza,Final de Semana
Disney+,Nerdisse
Livros,Nerdisse
Netflix,Nerdisse
Condominio,Fixo
Eletropaulo,Consumo
Vivo,Consumo
Almoço,Almoço
KFC,Almoço
We Wash,Consumo
Academia,Consumo
We Wash 1,Consumo
KFC 1,Comida
KFC 2,Comida
KFC 3,Comida
Edeka,Comida
KFC 4,Comida
KFC 5,Comida
KFC 6,Comida
KFC 7,Comida
LEV ATM 3613 DEU 22201850,Saques
Eletropaulo,Consumo
Vivo,Consumo
KFC 1039,Comida
KFC 1039,Comida
EDEKA M ERIKA MANN 880,Almoço
UBER   *TRIP,Carro
BAECKEREI ZIEGLER,Almoço
KFC 1039,Comida
BAECKEREI ZIEGLER,Comida
EDEKA M ERIKA MANN 880,Almoço
EDEKA M ERIKA MANN 880,Almoço
Mollie *WeWash GmbH,Fixo
Academia,Fixo
Almoço,Almoço
We Wash,Consumo
Edeka,Supermercado
Saque,Saques
Transporte,Consumo
KFC,Comida
KFC 1,Comida
KFC 2,Comida
Presente mae,Fixo
LOCALIZA RAC ACCAE1 05/10 SAO CAET,Final de Semana
EBANX*SPOTIFY CURITIBA BR,Nerdisse
ANUIDADE DIFERENCIADA 06/12,Fixo
AmazonPrimeBR SAO PAULO BR,Nerdisse
Amazon.com.br Digital SAO PAULO BR,Nerdisse
The Walt Disney Compan SAO PAULO B,Nerdisse
NETFLIX.COM SAO PAULO BR,Nerdisse
Edeka,Supermercado
Pacote Itau,Fixo
EDEKA M ERIKA MANN 880,Almoço
EDEKA M ERIKA MANN 880,Almoço
"Lieferando,de lieferse",Comida
UBER   *TRIP,Carro
Saque,Saques
Edeka,Supermercado
KFC,Comida
Condominio,Fixo
KFC,Comida
Edeka,Supermercado
KFC,Comida
Comgas,Fixo
Vivo Fixo,Fixo
Localiza,Consumo
Anuidade,Fixo
Spotify,Nerdisse
Prime,Nerdisse
Kindle  unlimeted,Nerdisse
Disney+,Nerdisse
netflix,Nerdisse
Edeka,Supermercado
Saque,Saques
KFC,Comida
Almoço,Almoço
Edeka,Supermercado
Saque,Saques
Depilação,Consumo
WeWash,Consumo
Vodaphone,Consumo
Academia,Fixo
Edeka,Almoço
Tarifa,Fixo
Luz,Consumo
LEV ATM 3613 DEU 22201850,Saques
LEV ATM 3613 DEU STADTSPARKASSE OLYEIN,Saques
Edeka,Supermercado
KFC,Comida
McDonnalds,Comida
academia,Fixo
Condominio,Fixo
Vivo,Fixo
Comgas,Fixo
Eletropaulo,Fixo
LOCALIZA RAC ACCAE1 07/10 SAO CAET,Carro
EBANX*SPOTIFY CURITIBA,Nerdisse
ANUIDADE DIFERENCIADA 08/12,Fixo
Amazon.com.br Digital SAO PAULO,Nerdisse
AmazonPrimeBR SAO PAULO,Nerdisse
The Walt Disney Compan SAO PAULO,Nerdisse
NETFLIX.COM SAO PAULO,Nerdisse
EDEKA CENTER OEZ,Supermercado
Inter Apotheke MUnchen DE,Medico
LEV ATM 3613 DEU REISEBANK FRANKFURT AT,Saques
LEV ATM 3613 DEU STADTSPARKASSE OLY-EIN,Saques
EDEKA CENTER OEZ,Supermercado
LEV ATM 3613 DEU STADTSPARKASSE OLY.EKZ,Saques
MUNCHNER VERKEHRSGESEL MUNCHEN DE,Fixo
KAMILIA PEREIRA,Consumo
EDEKA CENTER OEZ,Supermercado
EDEKA CENTER OEZ,Supermercado
SumUp Dr. Ebner Munchen DE,Medico
LEV ATM 3613 DEU 22201850,Saques
SumUp Dr. Ebner Munchen DE,Medico
EDEKA CENTER OEZ,Supermercado
Saturn Electro,Nerdisse
EDEKA CENTER OEZ,Supermercado
LEV ATM 3613 DEU 22201850,Saques
EDEKA CENTER OEZ,Supermercado
LEV ATM 3613 DEU STADTSPARKASSE OLY-EIN,Saques
MUNCHNER VERKEHRSGESEL MUNCHEN DE,Fixo
EDEKA CENTER OEZ,Supermercado
DB Automaten MUnchen DE,Fixo
EDEKA CENTER OEZ,Supermercado
LEV ATM 3613 DEU 22201850,Saques
Edeka,Supermercado
Almoço,Comida
Mollie *WeWash GmbH,Consumo
BAECKEREI ZIEGLER,Almoço
KFC 1039,Comida
KFC 1039,Comida
KFC 1039,Comida
KFC 1039,Comida
SANI PLUS-APOTHEKE,Medico
UBER   *TRIP,Carro
KFC 1039,Comida
EDEKA M ERIKA MANN 880,Almoço
EDEKA M ERIKA MANN 880,Almoço
EDEKA M ERIKA MANN 880,Almoço
KFC 1039,Comida
KFC 1039,Comida
BAECKEREI ZIEGLER,Almoço
EDEKA M ERIKA MANN 880,Almoço
KFC 1039,Comida
body + soul group AG & Co. KG,Fixo
Mollie *WeWash GmbH,Consumo
EDEKA M ERIKA MANN 880,Almoço
KFC 1039,Comida
KFC 1039,Comida
KFC 1039,Comida
Vodafone GmbH CallYa,Consumo
UBER *TRIP HELP.UBER.C,Carro
UBER *TRIP HELP.UBER.C,Carro
Mollie *WeWash GmbH,Consumo
KFC 1039,Comida
UBER   *TRIP,Carro
UBER   *TRIP,Carro
Lilli P.,Almoço
body + soul group AG & Co. KG,Fixo
UBER *TRIP HELP.UBER.C,Carro
UBER   *TRIP,Carro
BAECKEREI ZIEGLER,Almoço
Mollie *WeWash GmbH,Consumo
BAECKEREI ZIEGLER,Almoço
PACOTE ITAU JUN/21,Fixo
PAG TIT 109005278903,Fixo
COMGAS 37423975,Consumo
VIVO FIXO 9324810660,Consumo
ELETROPAULO 56301179,Consumo
PACOTE ITAU JUL/21,Fixo
COMGAS 37423975,Consumo
VIVO FIXO 9324810660,Consumo
PAG TIT 109005294967,Fixo
PAG TIT 109005287151,Fixo
ELETROPAULO 56301179,Consumo
TED 364224,Fixo
PACOTE ITAU AGO/21,Fixo
LOCALIZA RAC ACCAE1 08/10 SAO CAET,Carro
ANUIDADE DIFERENCIADA 09/12,Fixo
EBANX*SPOTIFY CURITIBA BR,Nerdisse
AmazonPrimeBR SAO PAULO BR,Nerdisse
Amazon.com.br Digital SAO PAULO BR,Nerdisse
The Walt Disney Compan SAO PAULO B,Nerdisse
NETFLIX.COM SAO PAULO BR,Nerdisse
KFC,Comida
Edeka,Almoço
Metro,Fixo
Edeka 2,Supermercado
Saque,Saques
Custo transferencia,Fixo
Uber,Carro
KFC,Comida
Edeka,Almoço
cafe da manha,Comida
cafe da manha 2,Comida
Edeka,Almoço
cafe da manha 3,Comida
almoço,Almoço
depilação,Consumo
Edeka,Supermercado
Saque,Saques
almoço 2,Almoço
bar,Comida
Edeka2,Almoço
Edeka3,Almoço
Saque2,Saques
Edeka,Supermercado
Almoço,Almoço
Almoço2,Almoço
KFC,Comida
Uber,Carro
Edeka,Almoço
KFC2,Almoço
comgas,Consumo
vivo,Consumo
eletropaulo,Almoço
AUGUSTINER BRAEUSTUBEN,Comida
DB D,Saques
EDEKA M ERIKA MANN 880,Almoço
KAMILIA PEREIRA,Fixo
EDEKA CENTER OEZ,Supermercado
EDEKA M ERIKA MANN 880,Comida
EDEKA M ERIKA MANN 880,Almoço
EDEKA CENTER OEZ,Supermercado
BAECKEREI ZIEGLER MUENC,Almoço
MUNCHNER VERKEHRSGESEL MUNCHEN DE,Fixo
DB D,Saques
SumUp Pasta Traum Marti,Almoço
BAECKEREI ZIEGLER MUENC,Almoço
Lilli P. MUnchen DE,Fixo
KFC 1039 MUNCHEN DE,Comida
BAECKEREI ZIEGLER MUENC,Almoço
EDEKA M ERIKA MANN 880,Almoço
DMDrogerie Markt Muenc,Medico
EDEKA CENTER OEZ,Supermercado
BAECKEREI ZIEGLER MUENC,Almoço
EDEKA M ERIKA MANN 880,Almoço
EDEKA M ERIKA MANN 880,Almoço
KFC 1039 MUNCHEN DE,Comida
EDEKA M ERIKA MANN 880,Almoço
EDEKA CENTER OEZ,Supermercado
EDEKA M ERIKA MANN 880,Almoço
EDEKA M ERIKA MANN 880,Almoço
WeWash,Fixo
TAP0470000946895,Final de Semana
Comida,Comida
Master PC,Nerdisse
Comida 2,Comida
Polo Vermelha,Roupas
KFC,Comida
WeWash 2,Fixo
Tarifa,Fixo
Vivo,Consumo
Condominio,Consumo
Eletropaulo,Consumo
ANUIDADE DIFERENCIADA 12/12,Fixo
EBANX*SPOTIFY CURITIBA BR,Nerdisse
AmazonPrimeBR SAO PAULO BR,Nerdisse
Amazon.com.br Digital SAO PAULO BR,Nerdisse
Disney Plus SAO PAULO BR,Nerdisse
NETFLIX.COM SAO PAULO BR,Nerdisse
IOF TRANSACOES INTERNACIONAIS,Fixo
STEAM PURCHASE SEATTLE DE,Nerdisse
LOCALIZA RAC ACCAE1 10/10 SAO CAET,Nerdisse
ANUIDADE DIFERENCIADA 11/12,Fixo
EBANX*SPOTIFY CURITIBA BR,Nerdisse
AmazonPrimeBR SAO PAULO BR,Nerdisse
Amazon.com.br Digital SAO PAULO BR,Nerdisse
Disney Plus SAO PAULO BR,Nerdisse
NETFLIX.COM SAO PAULO BR,Nerdisse
APPLE.COM/BILL SAO PAULO BR,Nerdisse
LOCALIZA RAC ACCAE1 09/10 SAO CAET,Nerdisse
ANUIDADE DIFERENCIADA 10/12,Fixo
EBANX*SPOTIFY CURITIBA BR,Nerdisse
Amazon.com.br Digital SAO PAULO BR,Nerdisse
AmazonPrimeBR SAO PAULO BR,Nerdisse
The Walt Disney Compan SAO PAULO B,Nerdisse
NETFLIX.COM SAO PAULO BR,Nerdisse
APPLE.COM/BILL SAO PAULO BR,Nerdisse
IOF TRANSACOES INTERNACIONAIS,Fixo
UBER *TRIP HELP.UBER.COM DE,Carro
EDEKA CENTER OEZ,Supermercado
BAECKEREI ZIEGLER MUENC,Comida
EDEKA M ERIKA MANN 880,Almoço
Foodtruck HerrVonSchwa,Almoço
BAECKEREI ZIEGLER MUENC,Comida
KFC 1039 MUNCHEN DE,Comida
EDEKA M ERIKA MANN 880,Almoço
EDEKA CENTER OEZ,Supermercado
EDEKA M ERIKA MANN 880,Almoço
Mollie *WeWash GmbH,Consumo
SumUp  *Pasta Traum,Almoço
EDEKA M ERIKA MANN 880,Almoço
EDEKA M ERIKA MANN 880,Almoço
Lieferando.de lieferse,Comida
condominio,Fixo
taxa,Fixo
KAMILIA PEREIRA,Consumo
EDEKA CENTER OEZ,Supermercado
MVZ MARTINSRIED GMBH MARTINSRIED BE,Consumo
MUNCHNER VERKEHRSGESEL MUNCHEN DE,Comida
LEV ATM 3613 DEU STADTSPARKASSE UNI.UB,Saques
EDEKA CENTER OEZ,Supermercado
LEV ATM 3613 DEU STADTSPARKASSE OLYEIN,Saques
